DeploymentID	Location	Demand	DwellBeforeDeploy	BogBudget	CycleTime	DeployInterval	DeployDate	FillType	FillCount	UnitType	DemandType	DemandGroup	Unit	Policy	AtomicPolicy	Component	Period	FillPath	PathLength	FollowOn	FollowOnCount	DeploymentCount
189	Ready_Deployable	1_R21_SRC3_[595...963]	315	270	315	676	11/21/2014	Primary	769	SRC3	SRC3	Large	266_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
190	Ready_Deployable	1_R21_SRC3_[595...963]	324	270	324	676	11/21/2014	Primary	770	SRC3	SRC3	Large	255_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
191	Available	1_R28_SRC3_[451...721]	416	180	506	676	11/21/2014	Primary	771	SRC3	SRC3	V2	281_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	2
192	OS_Available	1_R28_SRC3_[451...721]	1391	85	1576	676	11/21/2014	Primary	772	SRC3	SRC3	V2	101_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	2	4
193	OS_Available	1_R28_SRC3_[451...721]	1382	85	1567	676	11/21/2014	Primary	773	SRC3	SRC3	V2	100_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	2	4
194	OS_Available	1_R28_SRC3_[451...721]	1373	85	1558	676	11/21/2014	Primary	774	SRC3	SRC3	V2	99_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	2	4
195	OS_Available	1_R28_SRC3_[451...721]	1364	85	1549	676	11/21/2014	Primary	775	SRC3	SRC3	V2	98_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	2	4
196	OS_Available	1_R28_SRC3_[451...721]	1355	85	1540	676	11/21/2014	Primary	776	SRC3	SRC3	V2	97_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	2	4
197	OS_Available	1_R28_SRC3_[451...721]	1346	85	1531	676	11/21/2014	Primary	777	SRC3	SRC3	V2	96_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	2	4
198	OS_Available	1_R28_SRC3_[451...721]	1337	85	1522	676	11/21/2014	Primary	778	SRC3	SRC3	V2	95_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	2	4
199	OS_Available	1_R28_SRC3_[451...721]	1328	85	1513	676	11/21/2014	Primary	779	SRC3	SRC3	V2	94_SRC3_NG	RCOpSus	RCOpSus	NG	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	2	4
200	Ready_Deployable	1_R28_SRC3_[451...721]	182	270	182	678	11/23/2014	Primary	780	SRC3	SRC3	V2	270_SRC3_AC	FFGACRoto	FFGACRoto	AC	Surge	FILLRULE_SRC3->SRC3->SOURCE_SRC3->Filled	0	FALSE	0	1
