rep-seed	SRC	phase	AC-fill	NG-fill	RC-fill	AC-overlap	NG-overlap	RC-overlap	total-quantity	AC-deployable	NG-deployable	RC-deployable	AC-not-ready	NG-not-ready	RC-not-ready	AC-total	NG-total	RC-total	AC	NG	RC
-7747173299880867347	63426K000	comp	746	0	5164	90	0	750	12315	0	0	0	1627	0	33494	2463	0	39408	3	0	48
-7747173299880867347	63426K000	phase-1	438	0	5694	0	0	33	6132	0	0	313	0	0	968	438	0	7008	3	0	48
-4565385657661118002	63426K000	comp	867	0	5258	60	0	609	12315	0	0	0	1536	0	32720	2463	0	38587	3	0	47
-4565385657661118002	63426K000	phase-1	408	0	5647	30	0	120	6132	0	0	37	0	0	1058	438	0	6862	3	0	47
579564241196435126	63426K000	comp	731	0	5702	90	0	832	12315	0	0	0	1642	0	31232	2463	0	37766	3	0	46
579564241196435126	63426K000	phase-1	438	0	5590	0	0	90	6132	0	0	36	0	0	1000	438	0	6716	3	0	46
6602457318652576433	63426K000	comp	497	0	5289	90	0	840	12315	0	0	49	1876	0	30767	2463	0	36945	3	0	45
6602457318652576433	63426K000	phase-1	180	0	5952	0	0	90	6132	258	0	70	0	0	458	438	0	6570	3	0	45
-3361053196040192472	63426K000	comp	773	0	4614	90	0	603	12315	0	0	0	1600	0	30907	2463	0	36124	3	0	44
-3361053196040192472	63426K000	phase-1	438	0	5688	0	0	60	6132	0	0	219	0	0	457	438	0	6424	3	0	44
7704975138223047541	63426K000	comp	968	0	5485	60	0	720	12315	0	0	0	1435	0	29098	2463	0	35303	3	0	43
7704975138223047541	63426K000	phase-1	408	0	5481	30	0	120	6132	0	0	0	0	0	677	438	0	6278	3	0	43
-478957009993612106	63426K000	comp	797	0	4852	90	0	614	12315	0	0	0	1576	0	29016	2463	0	34482	3	0	42
-478957009993612106	63426K000	phase-1	438	0	4896	0	0	195	6132	0	0	0	0	0	1041	438	0	6132	3	0	42
-5286721520629762393	63426K000	comp	1005	0	4690	90	0	720	12315	0	0	0	1368	0	28251	2463	0	33661	3	0	41
-5286721520629762393	63426K000	phase-1	438	0	5134	0	0	109	6132	0	0	0	0	0	743	438	0	5986	3	0	41
8865034956231574663	63426K000	comp	673	0	4905	60	0	593	12315	0	0	0	1730	0	27342	2463	0	32840	3	0	40
8865034956231574663	63426K000	phase-1	408	0	4581	30	0	172	6132	0	0	0	0	0	1087	438	0	5840	3	0	40
5380112710085299282	63426K000	comp	838	0	4472	60	0	660	12315	0	0	0	1565	0	26887	2463	0	32019	3	0	39
5380112710085299282	63426K000	phase-1	424	0	5169	14	0	58	6132	0	0	0	0	0	467	438	0	5694	3	0	39
-924917377818437675	63426K000	comp	833	0	2999	70	0	551	12315	16	0	0	1544	0	27648	2463	0	31198	3	0	38
-924917377818437675	63426K000	phase-1	438	0	5275	0	0	72	6132	0	0	0	0	0	201	438	0	5548	3	0	38
-3311341186503823761	63426K000	comp	761	0	3453	30	0	540	12315	0	0	0	1672	0	26384	2463	0	30377	3	0	37
-3311341186503823761	63426K000	phase-1	378	0	4996	60	0	90	6132	0	0	0	0	0	316	438	0	5402	3	0	37
-6702724865295600521	63426K000	comp	639	0	6141	60	0	810	12315	0	0	0	943	0	36562	1642	0	43513	2	0	53
-6702724865295600521	63426K000	phase-1	0	0	6132	0	0	106	6132	292	0	416	0	0	1084	292	0	7738	2	0	53
6809089882916169883	63426K000	comp	446	0	5215	17	0	782	12315	0	0	0	1179	0	36695	1642	0	42692	2	0	52
6809089882916169883	63426K000	phase-1	0	0	6132	0	0	43	6132	292	0	245	0	0	1172	292	0	7592	2	0	52
6645529480803663035	63426K000	comp	477	0	6559	30	0	962	12315	0	0	0	1135	0	34350	1642	0	41871	2	0	51
6645529480803663035	63426K000	phase-1	0	0	6132	0	0	90	6132	292	0	509	0	0	715	292	0	7446	2	0	51
8018081796930885386	63426K000	comp	370	0	7114	0	0	1087	12315	0	0	0	1272	0	32849	1642	0	41050	2	0	50
8018081796930885386	63426K000	phase-1	215	0	5917	30	0	85	6132	47	0	238	0	0	1060	292	0	7300	2	0	50
8436011436776032633	63426K000	comp	396	0	5693	60	0	808	12315	22	0	75	1164	0	33653	1642	0	40229	2	0	49
